reference_id,bib_key,title,publication_status,primary_topic_id,three_w_role,contribution_or_boundary,use_in_manuscript,identity_indices,coverage_note
S33,S33_pineau2021reproducibility,Improving Reproducibility in Machine Learning Research: A Report from the NeurIPS 2019 Reproducibility Program,VERIFIED,T7,WHY/HOW,C3|C4,Statistics reproducibility and reporting guidance for evidence ceilings and future analyses.,openalex|rate-limited:semantic_scholar,Reporting guidance does not turn designed-fixture counts into population estimates.
S34,S34_henderson2020energy,Towards the Systematic Reporting of the Energy and Carbon Footprints of Machine Learning,VERIFIED,T7,HOW,C3|C4,Statistics reproducibility and reporting guidance for evidence ceilings and future analyses.,openalex|rate-limited:semantic_scholar,Reporting guidance does not turn designed-fixture counts into population estimates.
S35,S35_barr2013random,Random Effects Structure for Confirmatory Hypothesis Testing: Keep It Maximal,VERIFIED,T7,HOW,C4,Statistics reproducibility and reporting guidance for evidence ceilings and future analyses.,crossref|openalex|semantic_scholar,Reporting guidance does not turn designed-fixture counts into population estimates.
S36,S36_scholak2021picard,PICARD: Parsing Incrementally for Constrained Auto-Regressive Decoding from Language Models,VERIFIED,T3,HOW/WHAT,C1,Structural generation comparator separated from independent state-relative authorization.,crossref|openalex|semantic_scholar,Structural admissibility does not establish state-relative semantic validity.
S37,S37_riedl2003managing,Managing Interaction Between Users and Agents in a Multi-Agent Storytelling Environment,VERIFIED,T8,HOW,C2,Historical lineage for planning narrative interposition runtime enforcement and belief-aware action.,crossref|openalex|semantic_scholar,Prior interposition and planning establish lineage; TRACE-RPG claims neither invention nor superiority.
S38,S38_evans2013versu,Versu---A Simulationist Storytelling System,VERIFIED,T8,HOW/WHAT,C2,Historical lineage for planning narrative interposition runtime enforcement and belief-aware action.,crossref|openalex|semantic_scholar,Prior interposition and planning establish lineage; TRACE-RPG claims neither invention nor superiority.
S39,S39_fikes1971strips,STRIPS: A New Approach to the Application of Theorem Proving to Problem Solving,VERIFIED,T8,HOW,C2,Historical lineage for planning narrative interposition runtime enforcement and belief-aware action.,crossref|openalex|semantic_scholar,Prior interposition and planning establish lineage; TRACE-RPG claims neither invention nor superiority.
S40,S40_schneider2000enforceable,Enforceable Security Policies,VERIFIED,T8,HOW,C2|C3,Historical lineage for planning narrative interposition runtime enforcement and belief-aware action.,crossref|openalex|semantic_scholar,Prior interposition and planning establish lineage; TRACE-RPG claims neither invention nor superiority.
S41,S41_ware2021sabre,Sabre: A Narrative Planner Supporting Intention and Deep Theory of Mind,VERIFIED,T8,HOW/WHAT,C2,Historical lineage for planning narrative interposition runtime enforcement and belief-aware action.,crossref|openalex|semantic_scholar,Prior interposition and planning establish lineage; TRACE-RPG claims neither invention nor superiority.
S42,S42_buongiorno2024pangea,"PANGeA: Procedural Artificial Narrative Using Generative AI for Turn-Based, Role-Playing Video Games",VERIFIED,T1,HOW/WHAT,C1|C2|C5,Direct or adjacent game-specific comparator for grounded generation and authority placement.,crossref|openalex|semantic_scholar,Comparator evidence cannot establish TRACE-RPG correctness superiority or player benefit.
S44,S44_gongora2026worldstate,World-State Transformations for Neuro-symbolic Interactive Storytelling,PREPRINT,T1,HOW/WHAT,C1|C2|C5,Direct or adjacent game-specific comparator for grounded generation and authority placement.,arxiv|openalex|rate-limited:semantic_scholar,Comparator evidence cannot establish TRACE-RPG correctness superiority or player benefit.
S45,S45_madaan2023selfrefine,Self-Refine: Iterative Refinement with Self-Feedback,VERIFIED,T9,HOW/WHAT,C5,Feedback-repair comparator distinguishing typed pre-execution counterexamples from self-feedback or runtime feedback.,crossref|openalex|rate-limited:semantic_scholar,Feedback-loop precedent differs in channel and authority and does not establish general rho efficacy.
S46,S46_chen2023selfdebug,Teaching Large Language Models to Self-Debug,PREPRINT,T9,HOW/WHAT,C5,Feedback-repair comparator distinguishing typed pre-execution counterexamples from self-feedback or runtime feedback.,arxiv|openalex|rate-limited:semantic_scholar,Feedback-loop precedent differs in channel and authority and does not establish general rho efficacy.
S47,S47_solarlezama2006sketching,Combinatorial Sketching for Finite Programs,VERIFIED,T9,HOW/WHY,C5,"Counterexample-guided synthesis lineage that names the feedback channel rho consumes: a verifier counterexample, not authoritative state.",crossref|openalex|rate-limited:semantic_scholar,Program-synthesis precedent bounds terminology and lineage only; it does not establish rho efficacy.
S48,S48_shinn2023reflexion,Reflexion: Language Agents with Verbal Reinforcement Learning,VERIFIED,T9,HOW/WHAT,C5,Feedback-repair comparator distinguishing typed pre-execution counterexamples from self-feedback or runtime feedback.,crossref|openalex|rate-limited:semantic_scholar,Feedback-loop precedent differs in channel and authority and does not establish general rho efficacy.
S49,S49_haerder1983transaction,Principles of Transaction-Oriented Database Recovery,VERIFIED,T8,WHY/HOW,C2|C3,Transactional atomicity and abort-to-prior-state lineage behind the commit gate and unchanged fallback; not a claim of database-grade durability.,crossref|openalex|rate-limited:semantic_scholar,Classical transaction principles bound the commit/abort vocabulary; the runtime is single-writer and unkeyed.
S50,S50_kambhampati2024llmmodulo,"Position: LLMs Can't Plan, But Can Help Planning in LLM-Modulo Frameworks",VERIFIED,T8,WHY/HOW,C2|C5,Generate-and-verify lineage in which an LLM proposes and external sound critics decide; TRACE-RPG instantiates the critic as a deterministic state-relative gate.,pmlr|openalex|rate-limited:semantic_scholar,Position-paper framing motivates the architecture but reports no game evidence.
S51,S51_ichter2023saycan,"Do As I Can, Not As I Say: Grounding Language in Robotic Affordances",VERIFIED,T8,HOW/WHAT,C2,Affordance-grounding precedent in which a language proposal is admitted only after a state-dependent feasibility check.,pmlr|openalex|rate-limited:semantic_scholar,Robotic affordance scoring is learned and probabilistic; the encoded predicates here are deterministic and exact.
